1972,'M',1
1925,'V',0
1955,'D',0
1985,'C',0
1961,'M',4
1944,'M',0
1985,'C',2
1946,'M',0
1940,'M',0
1945,'M',0
1951,'V',1
1982,'D',2
1983,'C',0
1921,'V',0
1982,'C',0
1976,'M',2
1965,'D',0
1969,'O',0
1979,'C',0
1947,'M',0
1977,'M',2
1921,'V',0
1974,'D',1
1965,'M',2
1947,'M',0
1949,'V',0
1963,'M',3
1947,'M',0
1981,'C',0
1985,'C',0
1961,'M',0
1965,'C',1
1952,'M',1
1941,'D',0
1975,'O',2
1946,'C',0
1973,'M',2
1928,'D',0
1933,'M',0
1937,'M',0
1955,'D',0
1979,'C',0
1965,'M',0
1970,'M',0
1947,'C',0
1985,'M',1
1955,'D',0
1979,'C',2
1980,'C',0
1928,'V',0
1963,'M',3
1955,'M',0
1965,'D',0
1968,'C',2
1976,'M',6
1981,'O',2
1959,'M',3
1974,'M',2
1983,'C',0
1976,'M',1
1979,'O',1
1979,'C',0
1923,'V',0
1983,'M',3
1948,'M',0
1921,'V',0
1964,'M',0
1959,'M',2
1970,'D',0
1935,'D',0
1937,'V',0
1972,'O',2
1960,'D',0
1947,'C',0
1956,'C',0
1962,'M',4
1935,'M',0
1956,'M',3
1984,'M',1
1952,'D',0
1986,'C',0
1974,'C',1
1981,'M',1
1974,'O',0
2022800000580554, 1994, 97400, NULL, 0, 0, NULL, NULL, NULL);
1973,'M',0
1945,'M',0
1967,'M',2
1972,'C',1
1980,'M',2
1950,'M',3
1985,'M',0
1969,'M',1
1936,'M',0
1960,'M',2
1979,'D',0
1963,'C',0
1967,'D',0
1971,'M',3
1963,'M',0
1972,'C',0
1972,'O',1
1981,'D',0
1952,'M',0
1985,'C',0
1972,'M',2
1941,'M',0
600000007338269, 1986, 97460, NULL, 0, 0, NULL, NULL, NULL);
1940,'M',0
1959,'C',0
1965,'M',4
1976,'C',0
1979,'M',1
1974,'M',3
1964,'M',1
1977,'C',0
1979,'C',0
1935,'M',0
1975,'C',1
1969,'C',0
1975,'O',2
1980,'C',1
1948,'C',0
1952,'M',0
1986,'C',0
1967,'M',2
1963,'D',1
1962,'M',0
1979,'M',1
1979,'C',1
1951,'M',0
1969,'C',0
1971,'M',3
1929,'D',0
1931,'M',0
1962,'C',0
1950,'D',0
1994,'C',0
1944,'M',1
1969,'C',0
